price,areaM2,lat,lng,nrOfRooms,floorNr,nrOfFloors,yearBuilt
275100,26.2,52.21277335,20.9792472360175,1,8,8,1961
745000,54.11,52.2308556,20.9890532793075,2,2,6,2011
450000,49.23,52.194149360308074,21.005073800409903,2,4,4,1964
535000,41,52.23812395,20.9871114,2,9,11,1968
422000,68.8,52.14178475,21.0478942301473,3,2,11,
640000,74,52.12813605,21.0629353946463,3,2,4,1997
595000,56,52.20108495,21.0220057068927,3,1,4,1978
529000,83,52.23702764485488,21.112427227199078,4,2,3,2005
335000,42,52.1823863,21.0472710262758,2,4,4,
1840000,123,52.21854554986636,21.00444316864014,4,1,4,1929
910000,83,52.2238284,21.0215081,3,2,5,1965
869000,72,52.1839941070462,21.02331519126892,4,3,5,1952
340000,46.88,52.19770824578512,21.03563963757324,3,5,10,1967
377000,28.5,52.21120005,21.012624072495,1,8,15,1967
525000,43.41,52.179694,21.0277073,2,12,15,2008
515000,47,52.1593904,21.0834172,2,3,3,2016
419000,49,52.1964299,20.9781444,3,1,10,1971
386000,56.52,52.3176718,21.0766271,3,2,2,2010
478000,63.2,52.27019075,21.0432076256024,3,1,4,1995
330000,29,52.21090145,21.0108905830843,1,8,15,
465000,48.2,52.21049,21.00988529999995,3,12,15,1968
390000,38,52.2105085,21.00986720000003,2,6,15,1968
333000,31,52.15328969999999,21.026080800000045,1,4,7,
352960,8000,52.242427,20.9988879,1,1,3,
399000,82.5,52.331601187458475,20.93924539549255,3,0,8,2001
282625,47.5,52.295307,21.027060000000006,3,4,4,1969
440000,47,52.2084455,20.99919449999993,3,1,10,
459000,61,52.1703942,21.054250499999966,3,2,3,1991
620000,84,52.2393,20.987874000000033,3,6,8,1990
550000,47,52.23292989999999,21.001019000000042,3,8,8,1970
575000,67.5,52.227655,20.884819900000025,3,2,5,2017
360000,29,52.2110074,21.009915999999976,1,4,17,1970
437750,51.5,52.1949969,21.00391890000003,2,3,4,1957
360000,37,52.206663,21.047789999999964,2,5,10,
339000,39,52.1883209,21.053630999999996,2,1,4,1980
352000,41,52.187737,21.015341000000035,2,7,10,1970
399000,37.2,52.20790239999999,20.999248899999998,2,4,10,
580000,56,52.1519941,21.05487340000002,2,2,3,2006
285000,36.5,52.194775,20.964672000000064,2,3,10,1970
280000,33,52.2360062,21.10162009999999,1,4,10,1981
340000,46.32,52.3185876,20.944873599999937,2,2,6,2008
470000,47,52.1948218,21.066704999999956,2,3,5,2014
330000,37,52.238034,21.123234000000025,1,3,6,2004
410000,37,52.2099862,21.00569429999996,2,2,10,1970
298000,43,52.2410047,21.09055239999998,2,4,4,1965
320000,37,52.2049169,20.969745999999986,2,6,10,1979
235000,26,52.240961,21.074077999999986,1,1,6,
450000,52,52.2094227,21.00646919999997,3,3,10,
455000,56.48,52.200406,21.02235100000007,3,7,10,
250000,24.4,52.1319605,21.067719099999977,1,5,5,2001
235000,38,52.294626,21.044925000000035,2,1,10,1976
365000,36.3,52.1924901,21.025582499999928,2,4,12,1967
280000,35,52.24245877976443,21.07296233146053,1,0,7,1967
255000,34.2,52.19179,20.89942300000007,1,3,7,2001
528000,48,52.24811769999999,21.005736599999977,3,0,4,1960
464000,46.5,52.2252202,21.03860140000006,3,2,10,1968
325000,46.88,52.19770824578512,21.03563963757324,3,5,10,1967
435000,63.3,52.302112323357356,20.978637047607435,3,0,4,2006
360000,45.1,52.202064,21.034219000000007,3,8,10,1966
1100000,115.3,52.193982,21.027667899999983,3,2,5,1996
360000,49,52.186442409036346,21.052616869311578,3,2,4,1975
375000,48,52.202391,21.043671000000018,1,1,4,1939
290000,35.3,52.1837047,21.075963099999967,2,0,4,2010
350000,50,52.18900751211081,21.05212034127794,3,1,4,1974
335000,28.5,52.21086589999999,21.01185399999997,1,5,15,
215000,20,52.2062442,21.008328900000038,1,5,6,
395000,58.1,52.203995,21.05013489999999,3,0,10,1978
429000,52,52.1474418,21.05179739999994,2,2,10,1982
277000,38,52.1854986,21.06083060000003,2,1,10,1970
1495000,83.5,52.2156992,21.02216229999999,3,4,5,1999
1150000,81,52.2304869,21.038280900000018,3,2,8,1967
410000,50,52.17546189999999,21.114532000000054,2,0,2,2006
661822.14,78.16,52.187061,21.02425100000005,3,2,3,1938
803000,120,52.187061,21.02425100000005,3,3,3,1938
652000,77,52.187061,21.02425100000005,3,1,3,1938
302000,38,52.24345479999999,21.076364900000044,1,1,4,1958
450000,48.7,52.2255052,21.040659499999947,3,8,15,1970
399000,49.6,52.1860609,21.059956000000057,2,2,3,1996
